"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 30 18:41:45 GMT 2024","Mon Sep 30 18:41:45 GMT 2024","449","tests","test_login","","","","Авторизаиця с недействительными учетными данными",""
"passed","Mon Sep 30 18:41:46 GMT 2024","Mon Sep 30 18:41:46 GMT 2024","281","tests","test_login","","","","Авторизаиця с корректными учетными данными",""
"passed","Mon Sep 30 18:41:45 GMT 2024","Mon Sep 30 18:41:46 GMT 2024","307","tests","test_login","","","","Авторизаиця с корректными учетными данными",""
