"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 26 10:00:37 GMT 2024","Thu Sep 26 10:00:37 GMT 2024","229","tests","test_login","","","","Авторизаиця с недействительными учетными данными",""
"passed","Thu Sep 26 10:00:37 GMT 2024","Thu Sep 26 10:00:38 GMT 2024","304","tests","test_login","","","","Авторизаиця с корректными учетными данными",""
"passed","Thu Sep 26 10:00:38 GMT 2024","Thu Sep 26 10:00:38 GMT 2024","271","tests","test_login","","","","Авторизаиця с корректными учетными данными",""
