"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 30 18:32:11 GMT 2024","Mon Sep 30 18:32:11 GMT 2024","359","tests","test_login","","","","Авторизаиця с недействительными учетными данными",""
"passed","Mon Sep 30 18:32:11 GMT 2024","Mon Sep 30 18:32:12 GMT 2024","501","tests","test_login","","","","Авторизаиця с корректными учетными данными",""
"passed","Mon Sep 30 18:32:11 GMT 2024","Mon Sep 30 18:32:11 GMT 2024","355","tests","test_login","","","","Авторизаиця с корректными учетными данными",""
